Date,price
2011/8/2,144.049878
2011/8/3,144.536945
2011/8/4,146.821859
2011/8/5,145.496752
2011/8/8,143.011281
2011/8/9,144.042716
2011/8/10,147.337576
2011/8/11,153.784043
2011/8/12,155.26673
2011/8/15,152.781259
2011/8/16,150.19551
2011/8/17,150.310114
2011/8/18,149.128261
2011/8/19,150.345927
2011/8/22,146.341955
2011/8/23,146.786045
2011/8/24,147.409204
2011/8/25,148.569568
2011/8/26,152.480424
2011/8/29,154.192319
2011/8/30,153.869996
2011/8/31,153.834182
2011/9/1,151.47764
2011/9/2,151.749825
2011/9/5,148.462127
2011/9/6,145.410799
2011/9/7,148.691334
2011/9/8,147.459343
2011/9/9,148.326034
2011/9/13,144.422341
2011/9/14,141.786452
2011/9/15,142.17324
2011/9/16,145.346334
2011/9/19,145.20308
2011/9/20,143.856484
2011/9/21,146.377769
2011/9/22,141.578733
2011/9/23,138.992983
2011/9/26,134.745478
2011/9/27,135.705285
2011/9/28,134.029204
2011/9/29,134.007716
2011/9/30,136.514675
2011/10/10,134.659525
2011/10/11,133.921763
2011/10/12,137.553272
2011/10/13,137.574761
2011/10/14,137.123508
2011/10/17,141.20627
2011/10/18,140.690553
2011/10/19,141.908219
2011/10/20,136.879975
2011/10/21,139.236517
2011/10/24,143.648765
2011/10/25,143.698904
2011/10/26,144.587084
2011/10/27,144.687362
2011/10/28,146.843347
2011/10/31,146.270328
2011/11/1,148.404825
2011/11/2,150.109557
2011/11/3,148.469289
2011/11/4,148.813101
2011/11/7,148.125478
2011/11/8,146.657116
2011/11/9,146.205863
2011/11/10,146.843347
2011/11/11,146.098422
2011/11/14,148.454964
2011/11/15,146.069771
2011/11/16,143.806345
2011/11/17,144.572758
2011/11/18,143.66309
2011/11/21,143.877972
2011/11/22,147.602598
2011/11/23,149.780071
2011/11/24,148.762962
2011/11/25,150.403229
2011/11/28,153.189535
2011/11/29,152.251216
2011/11/30,150.460531
2011/12/1,152.451773
2011/12/2,153.304139
2011/12/5,148.068176
2011/12/6,145.88354
2011/12/7,147.337576
2011/12/8,145.403636
2011/12/9,143.125885
2011/12/12,141.49278
2011/12/13,140.568786
2011/12/14,141.707662
2011/12/15,141.091666
2011/12/16,144.529782
2011/12/19,143.971088
2011/12/20,143.42672
2011/12/21,141.270735
2011/12/22,143.018444
2011/12/23,143.799182
2011/12/26,138.326848
2011/12/27,135.397287
2011/12/28,136.256816
2011/12/29,137.675039
2011/12/30,138.455778
2012/1/4,132.704097
2012/1/5,131.185596
2012/1/6,133.685392
2012/1/9,134.666688
2012/1/10,139.300981
2012/1/11,135.862866
2012/1/12,136.342769
2012/1/13,135.153754
2012/1/16,127.074183
2012/1/17,129.244493
2012/1/18,127.052695
2012/1/19,129.430724
2012/1/20,133.205489
2012/1/30,131.651174
2012/1/31,133.520649
2012/2/1,133.334418
2012/2/2,133.534975
2012/2/3,133.570789
2012/2/6,135.046313
2012/2/7,133.126699
2012/2/8,134.867245
2012/2/9,136.629279
2012/2/10,136.457373
2012/2/13,138.541731
2012/2/14,138.82824
2012/2/15,139.530189
2012/2/16,137.324065
2012/2/17,137.123508
2012/2/20,136.708069
2012/2/21,137.488808
2012/2/22,138.06899
2012/2/23,139.179215
2012/2/24,141.879568
2012/2/27,142.180403
2012/2/28,143.784857
2012/2/29,146.449396
2012/3/1,145.102801
2012/3/2,143.899461
2012/3/5,143.14021
2012/3/6,140.425531
2012/3/7,138.334011
2012/3/8,139.27233
2012/3/9,143.204675
2012/3/12,143.641602
2012/3/13,144.443829
2012/3/14,142.30217
2012/3/15,142.488401
2012/3/16,148.691334
2012/3/19,148.727148
2012/3/20,148.805938
2012/3/21,146.907812
2012/3/22,147.08688
2012/3/23,151.864428
2012/3/26,154.14218
2012/3/27,144.329225
2012/3/28,144.257598
2012/3/29,144.078529
2012/3/30,141.077341
2012/4/5,147.552458
2012/4/6,148.963518
2012/4/9,149.887512
2012/4/10,149.063797
2012/4/11,149.59384
2012/4/12,152.150938
2012/4/13,152.587865
2012/4/16,152.44461
2012/4/17,150.546484
2012/4/18,153.182373
2012/4/19,150.045092
2012/4/20,152.20824
2012/4/23,151.735499
2012/4/24,151.506291
2012/4/25,152.509075
2012/4/26,155.209428
2012/4/27,160.846505
2012/5/2,161.863614
2012/5/3,162.372169
2012/5/4,167.608132
2012/5/7,167.973432
2012/5/8,167.686923
2012/5/9,165.337544
2012/5/10,163.095606
2012/5/11,163.088443
2012/5/14,159.141773
2012/5/15,159.807908
2012/5/16,157.594621
2012/5/17,157.515831
2012/5/18,156.090445
2012/5/21,159.86521
2012/5/22,164.227319
2012/5/23,165.079685
2012/5/24,157.752201
2012/5/25,156.563186
2012/5/28,161.51264
2012/5/29,161.51264
2012/5/30,163.783229
2012/5/31,169.527747
2012/6/1,172.170798
2012/6/4,169.420306
2012/6/5,172.478796
2012/6/6,169.45612
2012/6/7,170.458903
2012/6/8,171.175177
2012/6/11,168.718357
2012/6/12,167.500691
2012/6/13,171.18234
2012/6/14,175.193475
2012/6/15,174.326783
2012/6/18,176.532907
2012/6/19,174.555991
2012/6/20,174.455713
2012/6/21,171.748197
2012/6/25,170.186719
2012/6/26,170.365788
2012/6/27,173.266698
2012/6/28,169.140959
2012/6/29,171.296944
2012/7/2,173.230884
2012/7/3,182.606911
2012/7/4,185.271451
2012/7/5,183.088866
2012/7/6,189.149147
2012/7/9,185.322367
2012/7/10,182.172185
2012/7/11,187.708648
2012/7/12,186.289975
2012/7/13,191.120739
2012/7/16,190.793353
2012/7/17,184.616668
2012/7/18,178.214451
2012/7/19,179.123857
2012/7/20,176.846704
2012/7/23,176.482942
2012/7/24,181.43011
2012/7/25,185.918937
2012/7/26,182.201286
2012/7/27,181.481037
2012/7/30,181.764771
2012/7/31,179.291187
2012/8/1,176.824879
2012/8/2,176.177382
2012/8/3,179.6695
2012/8/6,181.029972
2012/8/7,183.263472
2012/8/8,183.918245
2012/8/9,189.825745
2012/8/10,180.578906
2012/8/13,180.426126
2012/8/14,180.062364
2012/8/15,177.610605
2012/8/16,174.082111
2012/8/17,167.054222
2012/8/20,169.258622
2012/8/21,171.543049
2012/8/22,168.916685
2012/8/23,166.072064
2012/8/24,168.698428
2012/8/27,166.239394
2012/8/28,164.078646
2012/8/29,159.444314
2012/8/30,158.513082
2012/8/31,159.880828
2012/9/3,159.880828
2012/9/4,169.826091
2012/9/5,170.284432
2012/9/6,168.60385
2012/9/7,175.769968
2012/9/10,175.82817
2012/9/11,174.409497
2012/9/12,174.795085
2012/9/13,174.591378
2012/9/14,178.068946
2012/9/17,175.551711
2012/9/18,174.846012
